Time [s], Analyzer Name, Decoded Protocol Result
1.836999500000000,I2C,Setup Write to [0x20] + NAK
1.837107500000000,I2C,0x00 + NAK
1.837215500000000,I2C,0x0A + NAK
1.837429000000000,I2C,Setup Write to [0x20] + NAK
1.837537000000000,I2C,0x01 + NAK
1.837661000000000,I2C,Setup Read to [0x21] + NAK
1.837769000000000,I2C,0xFF + NAK
1.839637000000000,I2C,Setup Write to [0x34] + ACK
1.839745000000000,I2C,0x00 + ACK
1.841546000000000,I2C,Setup Read to [0x35] + ACK
1.841654000000000,I2C,0x69 + NAK
1.843633000000000,I2C,Setup Write to [0x20] + NAK
1.843741000000000,I2C,0x00 + NAK
1.843849000000000,I2C,0x01 + NAK
1.844082000000000,I2C,Setup Write to [0x20] + NAK
1.844190000000000,I2C,0xB1 + NAK
1.844298000000000,I2C,0x1A + NAK
1.846093500000000,I2C,Setup Write to [0x20] + NAK
1.846201500000000,I2C,0x00 + NAK
1.846309500000000,I2C,0x0A + NAK
1.846523000000000,I2C,Setup Write to [0x20] + NAK
1.846631000000000,I2C,0x01 + NAK
1.846755000000000,I2C,Setup Read to [0x21] + NAK
1.846863000000000,I2C,0xFF + NAK
1.848690000000000,I2C,Setup Write to [0x20] + NAK
1.848798000000000,I2C,0x00 + NAK
1.848906000000000,I2C,0x00 + NAK
1.849135000000000,I2C,Setup Write to [0x20] + NAK
1.849243000000000,I2C,0x08 + NAK
1.849351000000000,I2C,0x4D + NAK
1.851145000000000,I2C,Setup Write to [0x20] + NAK
1.851253000000000,I2C,0x00 + NAK
1.851361000000000,I2C,0x0A + NAK
1.851578000000000,I2C,Setup Write to [0x20] + NAK
1.851686000000000,I2C,0x01 + NAK
1.851810000000000,I2C,Setup Read to [0x21] + NAK
1.851918000000000,I2C,0xFF + NAK
1.853794000000000,I2C,Setup Write to [0x20] + NAK
1.853902000000000,I2C,0x00 + NAK
1.854010000000000,I2C,0x01 + NAK
1.854242500000000,I2C,Setup Write to [0x20] + NAK
1.854350500000000,I2C,0x19 + NAK
1.854458500000000,I2C,0x38 + NAK
1.856250500000000,I2C,Setup Write to [0x20] + NAK
1.856358500000000,I2C,0x00 + NAK
1.856466500000000,I2C,0x0A + NAK
1.856684000000000,I2C,Setup Write to [0x20] + NAK
1.856792000000000,I2C,0x01 + NAK
1.856916000000000,I2C,Setup Read to [0x21] + NAK
1.857024000000000,I2C,0xFF + NAK
1.858853000000000,I2C,Setup Write to [0x20] + NAK
1.858961000000000,I2C,0x00 + NAK
1.859069000000000,I2C,0x01 + NAK
1.859302000000000,I2C,Setup Write to [0x20] + NAK
1.859410000000000,I2C,0x1A + NAK
1.859518000000000,I2C,0x11 + NAK
1.861311500000000,I2C,Setup Write to [0x20] + NAK
1.861419500000000,I2C,0x00 + NAK
1.861527500000000,I2C,0x0A + NAK
1.861741000000000,I2C,Setup Write to [0x20] + NAK
1.861849000000000,I2C,0x01 + NAK
1.861973000000000,I2C,Setup Read to [0x21] + NAK
1.862081000000000,I2C,0xFF + NAK
1.863911500000000,I2C,Setup Write to [0x20] + NAK
1.864019500000000,I2C,0x00 + NAK
1.864127500000000,I2C,0x01 + NAK
1.864360500000000,I2C,Setup Write to [0x20] + NAK
1.864468500000000,I2C,0x1B + NAK
1.864576500000000,I2C,0x12 + NAK
